stem,cat,solid_fraction
MT_203,MTs,0.4693761814744801
MT_204,MTs,0.11903911103938769
MT_205,MTs,0.3318590616386454
MT_206,MTs,0.6772555656815519
MT_207,MTs,0.46113278390193907
MT_208,MTs,0.08564578928683844
MT_209,MTs,0.1730113107669403
MT_210,MTs,0.49825662482566246
MT_211,MTs,0.6696118469966532
MT_212,MTs,0.5871962915601023
MT_213,MTs,0.36901242413358015
MT_214,MTs,0.2518899039724468
MT_215,MTs,0.17834495716371732
MT_216,MTs,0.13444754497417324
MT_217,MTs,0.6793048973143759
MT_218,MTs,0.2559418680930514
MT_219,MTs,0.10683806875408403
MT_220,MTs,0.20221136814985777
MT_221,MTs,0.3687603283578079
MT_222,MTs,0.32417175715265223
MT_223,MTs,0.14097484295243534
MT_224,MTs,0.5635297885644855
MT_225,MTs,0.24442059126078983
MT_226,MTs,0.24773092747967812
MT_227,MTs,0.3183262194740334
MT_228,MTs,0.2823803401179011
MT_229,MTs,0.3966813340785113
MT_230,MTs,0.17724649629018963
MT_231,MTs,0.5826342644642394
MT_232,MTs,0.24556737588652483
MT_233,MTs,0.49120285473559006
MT_234,MTs,0.22904387810887522
MT_235,MTs,0.8274371591967017
MT_236,MTs,0.10353477765108324
MT_237,MTs,0.19092114214419584
MT_238,MTs,0.08708011835006091
MT_239,MTs,0.15100346883613647
MT_240,MTs,0.32884270541174304
MT_241,MTs,0.7912591050988553
MT_242,MTs,0.3888489830666294
MT_243,MTs,0.40634996419193126
MT_244,MTs,0.24257538295393186
MT_245,MTs,0.954477050413845
MT_246,MTs,0.30679158461467054
MT_247,MTs,0.09334559571931253
MT_248,MTs,0.3784066430097339
MT_249,MTs,0.21708496387718243
MT_250,MTs,0.17704610122927267
MT_251,MTs,0.40226565137477027
MT_252,MTs,0.1956745623069001
MT_253,MTs,0.016571923345676972
MT_254,MTs,0.9031415037839604
MT_255,MTs,0.35441710669213194
MT_256,MTs,0.08417682502436018
MT_257,MTs,0.11883765131465482
MT_258,MTs,0.6292860024203307
MT_259,MTs,0.1817247483877659
MT_260,MTs,0.6158197901666324
MT_261,MTs,0.1767144412191582
MT_262,MTs,0.680338266384778
MT_263,MTs,0.20903361344537816
MT_264,MTs,0.568097988725729
MT_265,MTs,0.22993238567523513
MT_266,MTs,0.8088529142818437
MT_267,MTs,0.26603894031279923
MT_268,MTs,0.5446829984402238
MT_269,MTs,0.11867761311972091
MT_270,MTs,0.5800117808757118
MT_271,MTs,0.24946268656716417
MT_272,MTs,0.1214765506807867
MT_273,MTs,0.7141811527904849
MT_274,MTs,0.3961576917583202
MT_275,MTs,0.17238227244017124
MT_276,MTs,0.496987529774415
MT_277,MTs,0.7037037037037037
MT_278,MTs,0.154881971818223
MT_279,MTs,0.27015592892542006
MT_280,MTs,0.26425591098748263
MT_281,MTs,0.6512932804160394
MT_282,MTs,0.15943506922064268
MT_283,MTs,0.7641937925813778
MT_284,MTs,0.6080439089475599
MT_285,MTs,0.11618470682363699
MT_286,MTs,0.11398868110236221
MT_287,MTs,0.06990497516722648
MT_288,MTs,0.2963369159903488
MT_289,MTs,0.07929515418502203
MT_290,MTs,0.39268543956043955
MT_291,MTs,0.521272568984443
MT_292,MTs,0.23587312529002766
MT_293,MTs,0.28828193101158106
MT_294,MTs,0.15719847465410186
MT_295,MTs,0.1826985079936851
MT_296,MTs,0.25938319493006995
MT_297,MTs,0.14207221350078492
MT_298,MTs,0.23058632488546077
MT_299,MTs,0.655303273943526
MT_300,MTs,0.8148258410241144
MT_301,MTs,0.35700912241564753
MT_302,MTs,0.8087437395659433
MT_303,MTs,0.2697197234406364
MT_304,MTs,0.49034192808631993
MT_305,MTs,0.6852707666785164
MT_306,MTs,0.03398373172313988
MT_307,MTs,0.5503963197696546
MT_308,MTs,0.14282771962603072
MT_309,MTs,0.37773268722304626
MT_310,MTs,0.42342489047277554
MT_311,MTs,0.4223042680611409
MT_312,MTs,0.21016054176927448
MT_313,MTs,0.07093333333333333
